RT,accuracy,p_correct,correct,action_executed,action_rate,attunement_mean,attunement_std,attunement_final,attunement_min,attunement_max,stress_mean,stress_std,ext_load_mean,mem_load_mean,aff_vol_mean,dominant_mode,PE_mean,PE_max,confidence_mean,trial_number,duration,preset,seed,git_commit,replay_mode_counts.converge,replay_mode_counts.explore,replay_mode_counts.stabilize,stimulus.ext_load_target,stimulus.mem_load_target,stimulus.condition
1221.3756103515625,0.0,0.0,False,True,0.01,0.01859631948173046,0.0641031414270401,0.004104794003069401,1.3754802852261605e-10,0.5510607361793518,0.6184098124504089,0.15072551369667053,0.4869532287120819,0.5058342218399048,0.08192664384841919,stabilize,0.19654388199018855,0.7508568167686462,0.6498317758738995,29,200,default,71,b52458e,40,3,157,0.6,0.3,ext0.6_mem0.3
1186.0791015625,0.0,0.0,False,True,0.015,0.023839011788368225,0.06581494957208633,1.2122699445171747e-05,1.5964228203269037e-11,0.4462767243385315,0.5947034955024719,0.15494370460510254,0.4938872158527374,0.48975294828414917,0.08501538634300232,stabilize,0.21023170613916592,0.8376531004905701,0.6601405416429043,30,200,default,72,b52458e,55,6,139,0.9,0.3,ext0.9_mem0.3
1236.36962890625,0.0,0.0,False,True,0.03,0.01929951272904873,0.0526241771876812,0.00036505222669802606,3.352126441313885e-06,0.42382344603538513,0.6102322340011597,0.14107342064380646,0.4693475067615509,0.4838074743747711,0.08536045998334885,stabilize,0.18978654646836732,0.5215534567832947,0.6522036570310593,31,200,default,73,b52458e,57,1,142,0.3,0.6,ext0.3_mem0.6
1200.400634765625,0.0,0.0,False,True,0.01,0.023280635476112366,0.06766487658023834,0.0017295951256528497,5.037626351622748e-07,0.5166375041007996,0.5992999076843262,0.13408733904361725,0.47823989391326904,0.53448885679245,0.08359190076589584,stabilize,0.20891648750946842,0.8171092867851257,0.658554106503725,32,200,default,74,b52458e,49,4,147,0.6,0.3,ext0.6_mem0.3
1214.042724609375,0.0,0.0,False,True,0.01,0.01856735162436962,0.059538766741752625,0.0006809760234318674,4.263875474919132e-09,0.46104100346565247,0.6060238480567932,0.13088269531726837,0.47727352380752563,0.4824870228767395,0.07535868883132935,stabilize,0.1954260267488462,0.7566348314285278,0.6593087220191955,33,200,default,75,b52458e,38,4,158,0.3,0.9,ext0.3_mem0.9
1290.9298095703125,0.0,0.0,False,True,0.02,0.024970179423689842,0.06574783474206924,0.007852045819163322,1.8627925868486273e-09,0.4654497504234314,0.6026601195335388,0.15002256631851196,0.462039977312088,0.4491336941719055,0.08348891139030457,stabilize,0.19833112722561963,0.772141695022583,0.6569254763424397,34,200,default,76,b52458e,75,2,123,0.6,0.6,ext0.6_mem0.6
1156.3304443359375,0.0,0.0,False,True,0.02,0.018842214718461037,0.050523921847343445,0.0002504732692614198,1.9067428191910096e-11,0.40137261152267456,0.596711277961731,0.13708381354808807,0.4782261252403259,0.49193650484085083,0.08706334978342056,stabilize,0.19867730632133315,0.7164357304573059,0.6581126961112023,35,200,default,77,b52458e,46,4,150,0.6,0.3,ext0.6_mem0.3
1215.40283203125,0.0,0.0,False,True,0.015,0.015863943845033646,0.04636402800679207,4.964763320458587e-06,6.267643737345452e-09,0.3844345510005951,0.6023096442222595,0.1439163237810135,0.4879430830478668,0.47095221281051636,0.08169917017221451,stabilize,0.19555993564861182,0.7684466242790222,0.6579955799877644,36,200,default,78,b52458e,59,1,140,0.3,0.3,ext0.3_mem0.3
1143.461669921875,0.0,0.0,False,True,0.03,0.025492705404758453,0.08408014476299286,0.00034706800943240523,1.6241169520370136e-09,0.7107532620429993,0.6041960120201111,0.15257874131202698,0.5013999938964844,0.49903538823127747,0.08755799382925034,stabilize,0.21373306544729986,0.769550085067749,0.6541229978203773,37,200,default,79,b52458e,49,5,146,0.3,0.9,ext0.3_mem0.9
1166.2794189453125,0.0,0.0,False,True,0.01,0.018230078741908073,0.06050940230488777,3.993631980847567e-05,4.779657047038199e-06,0.48702847957611084,0.6120971441268921,0.13347995281219482,0.49237456917762756,0.533115029335022,0.08665108680725098,stabilize,0.1981393231997663,0.891921877861023,0.6506258708238601,38,200,default,80,b52458e,44,4,152,0.3,0.9,ext0.3_mem0.9
1237.4342041015625,0.0,0.0,False,True,0.01,0.016941145062446594,0.04794200137257576,0.01571642793715,2.542537569372172e-10,0.3609911799430847,0.6085066199302673,0.14922785758972168,0.49353957176208496,0.45508652925491333,0.0786106288433075,stabilize,0.19774989020777867,0.7863228917121887,0.6564413642883301,39,200,default,81,b52458e,48,5,147,0.9,0.9,ext0.9_mem0.9
1252.273681640625,0.0,0.0,False,True,0.015,0.017316509038209915,0.04999365285038948,0.0032615521922707558,1.0223985924540102e-07,0.37497588992118835,0.6110763549804688,0.13841940462589264,0.5028353333473206,0.4605216681957245,0.0837123692035675,stabilize,0.20058125400582866,0.6003597974777222,0.6526056356728077,40,200,default,82,b52458e,55,2,143,0.3,0.3,ext0.3_mem0.3
1165.3292236328125,0.0,0.0,False,True,0.015,0.019090229645371437,0.051754556596279144,0.00014095903316047043,2.4453104288113536e-06,0.4382033348083496,0.6102460026741028,0.14426030218601227,0.5008113980293274,0.5150473117828369,0.08459306508302689,stabilize,0.1920955873259652,0.8185299038887024,0.6525804792344571,41,200,default,83,b52458e,53,5,142,0.9,0.6,ext0.9_mem0.6
