clock,state,replay_mode,num_tagged,num_simulations,attunement_score,schema_stress,preset,vigilance,rt_mean,rt_std,accuracy,precision_ratio,volatility
36,awake,rest,6,6,1,0.478,mdd_typical,0.643,633.37,78.35,1.0,0.782,0.86
37,awake,rest,2,2,0,0.412,mdd_typical,0.643,576.04,7.0,0.0,0.783,0.862
38,awake,rest,5,5,3,0.603,mdd_typical,0.642,617.44,99.48,1.0,0.79,0.875
39,awake,rest,5,5,2,0.537,mdd_typical,0.642,606.04,60.75,0.5,0.79,0.875
40,awake,rest,8,8,5,0.424,mdd_typical,0.642,619.42,64.75,1.0,0.788,0.872
41,awake,soothing,4,4,5,0.803,mdd_typical,0.642,669.54,119.61,0.75,0.791,0.878
42,awake,soothing,2,2,1,0.671,mdd_typical,0.642,631.04,44.0,1.0,0.795,0.886
43,awake,soothing,2,2,3,0.838,mdd_typical,0.641,620.04,41.0,0.5,0.795,0.886
44,awake,soothing,3,3,4,0.666,mdd_typical,0.641,659.71,45.07,0.0,0.792,0.88
45,awake,soothing,2,2,1,0.562,mdd_typical,0.641,700.04,16.0,0.0,0.791,0.877
46,awake,soothing,3,3,1,0.836,mdd_typical,0.641,658.37,25.37,0.667,0.795,0.886
47,awake,rest,4,4,0,0.633,mdd_typical,0.641,617.29,28.17,0.5,0.794,0.884
48,awake,rest,3,3,3,0.615,mdd_typical,0.64,603.71,41.3,0.0,0.795,0.885
49,awake,rest,3,3,0,0.72,mdd_typical,0.64,655.04,108.9,0.5,0.794,0.883
50,awake,rest,3,3,4,0.576,mdd_typical,0.64,553.37,3.3,0.0,0.792,0.879
